year,title,venue,doi
2019,Collective embedding for neural context-aware recommender systems,Proceedings of the 13th ACM Conference on Recommender Systems,10.1145/3298689.3347028
2019,DAML: Dual Attention Mutual Learning between Ratings and Reviews for Item Recommendation,Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3292500.3330906
2019,Dual Sequential Prediction Models Linking Sequential Recommendation and Information Dissemination,Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3292500.3330959
2019,"Exploiting Ratings, Reviews and Relationships for Item Recommendations in Topic Based Social Networks",The World Wide Web Conference,10.1145/3308558.3313473
2019,Leveraging Ratings and Reviews with Gating Mechanism for Recommendation,Proceedings of the 28th ACM International Conference on Information and Knowledge Management,10.1145/3357384.3357919
2019,Neural Review Rating Prediction with User and Product Memory,Proceedings of the 28th ACM International Conference on Information and Knowledge Management,10.1145/3357384.3358138
2019,PerDREP: Personalized Drug Effectiveness Prediction from Longitudinal Observational Data,Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3292500.3330928
2020,A Multimodal Variational Encoder-Decoder Framework for Micro-video Popularity Prediction,Proceedings of The Web Conference 2020,10.1145/3366423.3380004
2020,A Stacking Ensemble Model for Prediction of Multi-type Tweet Engagements,Proceedings of the Recommender Systems Challenge 2020,10.1145/3415959.3415994
2020,Combining Rating and Review Data by Initializing Latent Factor Models with Topic Models for Top-N Recommendation,Proceedings of the 14th ACM Conference on Recommender Systems,10.1145/3383313.3412207
2020,Data-driven country safety monitoring terrorist attack prediction,Proceedings of the 2019 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,10.1145/3341161.3343527
2020,Deep Exogenous and Endogenous Influence Combination for Social Chatter Intensity Prediction,Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3394486.3403251
2020,Deep Time-Aware Item Evolution Network for Click-Through Rate Prediction,Proceedings of the 29th ACM International Conference on Information &amp; Knowledge Management,10.1145/3340531.3411952
2020,Dual Learning for Explainable Recommendation: Towards Unifying User Preference Prediction and Review Generation,Proceedings of The Web Conference 2020,10.1145/3366423.3380164
2020,Dual-attentional Factorization-Machines based Neural Network for User Response Prediction,Companion Proceedings of the Web Conference 2020,10.1145/3366424.3382680
2020,Dynamic Heterogeneous Graph Neural Network for Real-time Event Prediction,Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3394486.3403373
2020,Improving the Estimation of Tail Ratings in Recommender System with Multi-Latent Representations,Proceedings of the 13th International Conference on Web Search and Data Mining,10.1145/3336191.3371810
2020,Inf-VAE: A Variational Autoencoder Framework to Integrate Homophily and Influence in Diffusion Prediction,Proceedings of the 13th International Conference on Web Search and Data Mining,10.1145/3336191.3371811
2020,Inferring the Causal Impact of New Track Releases on Music Recommendation Platforms through Counterfactual Predictions,Proceedings of the 14th ACM Conference on Recommender Systems,10.1145/3383313.3418491
2020,"Knowing your FATE: Friendship, Action and Temporal Explanations for User Engagement Prediction on Social Apps",Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3394486.3403276
2020,Multi-Objective Blended Ensemble For Highly Imbalanced Sequence Aware Tweet Engagement Prediction,Proceedings of the Recommender Systems Challenge 2020,10.1145/3415959.3415998
2020,Popularity Prediction on Social Platforms with Coupled Graph Neural Networks,Proceedings of the 13th International Conference on Web Search and Data Mining,10.1145/3336191.3371834
2020,Product popularity modeling via time series embedding,Proceedings of the 2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,
2020,RecSys 2020 Challenge Workshop: Engagement Prediction on Twitter’s Home Timeline,Proceedings of the 14th ACM Conference on Recommender Systems,10.1145/3383313.3411532
2020,TAFA: Two-headed Attention Fused Autoencoder for Context-Aware Recommendations,Proceedings of the 14th ACM Conference on Recommender Systems,10.1145/3383313.3412268
2020,"The Connection Between Popularity Bias, Calibration, and Fairness in Recommendation",Proceedings of the 14th ACM Conference on Recommender Systems,10.1145/3383313.3418487
2021,Analyzing Item Popularity Bias of Music Recommender Systems: Are Different Genders Equally Affected?,Proceedings of the 15th ACM Conference on Recommender Systems,10.1145/3460231.3478843
2021,Beyond Point Estimate: Inferring Ensemble Prediction Variation from Neuron Activation Strength in Recommender Systems,Proceedings of the 14th ACM International Conference on Web Search and Data Mining,10.1145/3437963.3441770
2021,Combating Selection Biases in Recommender Systems with a Few Unbiased Ratings,Proceedings of the 14th ACM International Conference on Web Search and Data Mining,10.1145/3437963.3441799
2021,DCAP: Deep Cross Attentional Product Network for User Response Prediction,Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management,10.1145/3459637.3482246
2021,Deep Inclusion Relation-aware Network for User Response Prediction at Fliggy,Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,10.1145/3447548.3467111
2021,HINTS: Citation Time Series Prediction for New Publications via Dynamic Heterogeneous Information Network Embedding,Proceedings of the Web Conference 2021,10.1145/3442381.3450107
